title|original_title|release_year|length|genres|average_rating|nb_votes
The Great Detective Sherlock Holmes: The Great Jail-Breaker|The Great Detective Sherlock Holmes: The Great Jail-Breaker|2019|84|Adventure,Animation|6,7|9
M for Malaysia|M for Malaysia|2019|92|Documentary|4,7|138
Bazaar Encounters|Bazaar Encounters|2019|73|Documentary|4,4|8
Manmadhudu 2|Manmadhudu 2|2019|155|Comedy,Drama,Romance|4,8|528
Et je choisis de vivre|Et je choisis de vivre|2019|70|Documentary|7,4|10
We Are Legends|We Are Legends|2019|108|Action|5,1|157
Single & Ready|Single & Ready|2019|92|Romance|6,0|7
Verano no miente|Verano no miente|1018|120|Comedy,Romance|7,6|7
Rosa's Wedding|La boda de Rosa|2020|97|Comedy|7,1|152
Meathook Massacre: The Final Chapter|Meathook Massacre: The Final Chapter|2019|70|Horror|6,8|41
The Unknown Saint|Le Miracle du Saint Inconnu|2019|100|Comedy,Crime|6,4|439
Pansamantagal|Pansamantagal|2019|83|Comedy,Romance|6,8|6
The Spy Behind Home Plate|The Spy Behind Home Plate|2019|101|Documentary|6,2|104
Papa Pogi|Papa Pogi|2019|100|Comedy|7,5|6
Stars in the Sky: A Hunting Story|Stars in the Sky: A Hunting Story|1018|75|Documentary|7,1|147
Daymohk|Daymohk|2019|85|Documentary|7,2|12
Moon of the Blood Beast|Moon of the Blood Beast|2019|70|Horror|6,0|33
Deadly Playthings|Deadly Playthings|2019|76|Horror|3,1|66
Attack in LA|Attack in LA|1018|80|Action|4,1|57
Liza's Tale|Historia Lizy|2019|111|Drama|6,6|16
Wild Grass|Wild Grass|2020|112|Drama,Romance|4,8|25
Killing Sarai|En Brazos de un Asesino|2019|106|Romance,Thriller|5,9|342
Yêu Em Bât Châp|Yêu Em Bât Châp|1018|100|Comedy,Romance|4,3|6
Sweater|Sweater|2019|118|Drama|7,2|638
Gujarat 11|Gujarat 11|2019|140|Drama,Sport|7,0|120
Gidarh Singhi|Gidarh Singhi|2019|120|Comedy|5,4|47
Kobbari Matta|Kobbari Matta|2019|110|Comedy|5,9|90
15 Lakh Kado Aauga|15 Lakh Kado Aauga|2019|132|Comedy|6,8|9
Evvarikee Cheppoddu|Evvarikee Cheppoddu|2019|133|Drama|7,2|297
Aaviri|Aaviri|2019|\N|Drama,Thriller|4,3|71
Malli Malli Chusa|Malli Malli Chusa|2019|126|Drama|5,4|11
A Lifetime of Sundays|A Lifetime of Sundays|2019|90|Documentary|8,5|8
Flat Earth: To the Edge and Back|Flat Earth: To the Edge and Back|2019|50|Comedy|3,5|160
Santamaria|Santamaria|2019|85|Mystery,Sci-Fi|6,1|9
Breaking Surface|Breaking Surface|2020|80|Action,Drama,Thriller|6,1|800
L'oiseau de paradis|L'oiseau de paradis|2020|90|Drama|5,5|15
Dreams from the Outback|Dreams from the Outback|2019|79|Documentary|7,6|12
Aute Retrato|Aute Retrato|2019|98|Documentary|7,1|38
Bhinna|Bhinna|2019|95|Thriller|7,1|27
Chandigarh Amritsar Chandigarh|Chandigarh Amritsar Chandigarh|2019|107|Comedy,Drama,Romance|7,4|1407
Pattipulam|Pattipulam|2019|103|Comedy|5,4|5
My Angel My Teacher|My Angel My Teacher|2019|\N|Drama|5,3|6
Auerhaus|Auerhaus|2019|104|Comedy,Drama,Romance|5,8|80
American Relapse|American Relapse|1018|105|Documentary|6,8|20
Vinara sodara veera kumara|Vinara sodara veera kumara|2019|\N|Drama,Romance|7,5|73
Segretarie, Una Vita per il Cinema|Segretarie, Una Vita per il Cinema|2019|64|Documentary|6,5|6
Blood on Her Name|Blood on Her Name|2019|85|Crime,Drama,Thriller|5,5|705
