Year,Incident cost,Description,Animal group,Property type,Property category,Service type,"Ward code
",Ward,Borough Code,Borough,Station,Postcode,Latitude,Longitude
2009,255,"DISTRESSED CAT STUCK ON ROOF, B15, RC",Cat,Converted Flat/Maisonette - Up to 2 storeys,Dwelling,Animal rescue from height,E05000428,St. Leonard's,E09000022,Lambeth,Norbury,SW16,NULL,NULL
2009,255,"DOG TRAPPED DOWN FOXHOLE NEAR, B15",Dog,Domestic garden (vegetation not equipment),Outdoor,Animal rescue from below ground,E05000033,Goresbrook,E09000002,Barking and Dagenham,Dagenham,RM9,51.53694489,0.136186442
2009,255,"DOG ON ROOF,B15",Dog,Private garage,Non Residential,Animal rescue from height,E05000317,Pettits,E09000016,Havering,Romford,RM5,51.59007418,0.167161739
2009,255,"ASSIST RSPCA WITH CAT UP TREE,B15",Cat,House - single occupancy,Dwelling,Animal rescue from height,E05011485,South Norwood,E09000008,Croydon,Woodside,SE25,NULL,NULL
2009,255,"BIRDS TRAPPED IN NETTING, B15",Bird,Multi-Storey car park,Non Residential,Animal rescue from height,E05000408,Grove,E09000021,Kingston upon Thames,Kingston,KT1,51.40946896,-0.301280159
2009,255,"PIGEON CAUGHT IN NETTING, B15, RC",Bird,Purpose Built Flats/Maisonettes - 10 or more storeys,Dwelling,Other animal assistance,E05000365,Turnham Green,E09000018,Hounslow,Chiswick,W4,NULL,NULL
2009,255,"BIRD WITH LEG TRAPPED IN TREE BRANCH, B15",Bird,Purpose Built Flats/Maisonettes - 10 or more storeys,Dwelling,Animal rescue from height,E05000143,St. Pancras and Somers Town,E09000007,Camden,Euston,NW1,NULL,NULL
2009,255,"BIRD TRAPPED IN TREE,B15",Bird,Woodland/forest - broadleaf/hardwood,Outdoor,Animal rescue from height,E05000143,St. Pancras and Somers Town,E09000007,Camden,Euston,NW1,51.52849185,-0.129111558
2009,255,"CAT TRAPPED BETWEEN WALLS,B15",Cat,"Takeaway, fast food ",Non Residential,Other animal assistance,E05000107,Biggin Hill,E09000006,Bromley,Biggin Hill,TN16,51.30842551,0.038190634
2009,255,"ASSIST PARKS POLICE WITH CAT STUCK UP TREE,B15",Cat,Tree scrub,Outdoor,Animal rescue from height,E05000519,"Ham, Petersham and Richmond Riverside",E09000027,Richmond upon Thames,Kingston,TW10,51.44617602,-0.299427934
2009,255,"CAT TRAPPED BEHIND WALL,B15",Cat,House - single occupancy,Dwelling,Other animal assistance,E05000476,Boleyn,E09000025,Newham,Plaistow,E13,NULL,NULL
2009,260,"CAT STUCK UP TREE,B0",Cat,Tree scrub,Outdoor,Animal rescue from height,E05000519,"Ham, Petersham and Richmond Riverside",E09000027,Richmond upon Thames,Kingston,TW10,51.44658399,-0.300276241
2009,260,"DOG STUCK IN DRAINAGE PIPE,B15",Dog,Pipe or drain,Outdoor Structure,Animal rescue from below ground,E05000517,East Sheen,E09000027,Richmond upon Thames,Richmond,SW14,51.45673375,-0.268116991
2009,260,"DOG STUCK IN POND,B15",Dog,Lake/pond/reservoir,Outdoor,Animal rescue from water,E05000463,Lavender Fields,E09000024,Merton,Mitcham,CR4,51.41545484,-0.173149512
2009,260,"CAT TRAPPED IN GARAGE,B15",Cat,Private garage,Non Residential,Other animal assistance,E05000140,Kilburn,E09000007,Camden,West Hampstead,NW6,51.5405555,-0.194837117
2009,260,"PUPPY STUCK IN SAFETY GATE,B15",Dog,House - single occupancy,Dwelling,Other animal assistance,E05000054,Hale,E09000003,Barnet,Mill Hill,HA8,NULL,NULL
